Game_Date,Game_Time,Length,Home_Runs,Wins,Replay_Reviews,Strikeout_Side,Four_Pitch_Walk,Triples,Seven_Or_More_Runs,Five_Or_More_Runs,Three_Or_More_Runs,Bunts,Stolen_Bases,Doubles,Double_Plays,Save,Caught_Stealing,Pitcher_Pickoff,Hits,Runs,Walks,Strikeouts,Runs_Batted_In,Assists
2024-06-06,12:37:00,2.58,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,3,5,8,3,6
2024-06-07,17:10:00,2.89,1,0,0,0,1,0,1,1,1,0,0,6,2,0,0,0,10,9,8,5,9,14
2024-06-08,13:10:00,2.38,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,4,2,6,4,4
2024-06-09,11:10:00,3.07,1,1,0,0,0,0,0,1,1,2,0,2,0,1,0,0,10,6,3,8,6,14
2024-06-10,18:40:00,2.68,2,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,11,8,4,11,8,8
2024-06-11,18:40:00,2.53,0,1,0,0,2,0,0,0,1,0,2,4,1,1,0,0,5,4,4,8,4,11
2024-06-12,18:40:00,2.56,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,6,2,3,13,2,6
2024-06-13,18:40:00,2.47,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,2,2,4,2,12
2024-06-14,19:10:00,2.41,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,8,3,4,11,3,7
2024-06-15,16:15:00,2.76,2,1,0,1,1,0,1,1,1,0,4,0,1,1,0,0,7,7,8,7,7,7
2024-06-16,13:10:00,2.3,1,1,0,0,0,0,0,1,1,0,1,3,0,0,0,0,6,5,4,9,3,3
2024-06-18,15:40:00,3.23,3,1,0,0,2,0,1,1,1,0,1,6,0,1,0,0,11,8,7,5,8,10
2024-06-19,15:40:00,2.3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,6,0,4
2024-06-20,10:10:00,2.44,1,0,1,0,0,0,0,0,1,0,1,1,2,0,1,0,5,3,5,8,3,5
2024-06-21,16:10:00,2.49,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,6,2,2,7,2,6
2024-06-22,13:10:00,2.4,1,1,0,0,0,1,1,1,1,0,0,4,3,0,0,0,15,9,0,8,7,14
2024-06-23,10:40:00,2.55,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,7,4,5,9,4,7
2024-06-24,15:50:00,3.01,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,7,11,3,4
2024-06-25,15:50:00,2.69,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,3,1,8,3,7
2024-06-26,09:10:00,2.83,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,5,5,4,8,5,10
2024-06-28,18:40:00,2.63,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,3,5,4,2,10
2024-06-29,19:10:00,2.81,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,1,2,12,1,9
2024-06-30,13:10:00,2.8,0,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,9,3,2,6,2,7
2024-07-02,18:40:00,2.64,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,4,7,0,9
2024-07-03,19:10:00,2.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,8,1,8
2024-07-04,13:10:00,2.68,2,1,0,0,0,0,1,1,1,0,2,2,1,0,0,0,7,7,3,11,6,8
2024-07-05,18:40:00,2.47,0,1,1,1,1,0,0,0,0,0,1,2,1,1,0,0,8,2,5,10,2,9
2024-07-06,13:10:00,2.89,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,2,8,4,7
2024-07-07,13:10:00,3.38,2,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,10,4,5,11,4,6
2024-07-09,18:40:00,2.59,3,1,1,0,0,0,1,1,1,0,0,5,2,0,0,0,13,8,2,7,8,14
2024-07-10,15:40:00,2.64,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,2,3,4,1,11
2024-07-11,18:38:00,2.5,3,1,0,0,1,0,1,1,1,0,0,3,1,0,0,0,15,11,3,8,11,10
2024-07-12,18:38:00,2.8,2,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,10,5,1,10,5,14
2024-07-13,18:38:00,2.23,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,1,4,8,1,14
2024-07-14,13:07:00,2.62,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,3,11,1,7
2024-07-19,19:10:00,2.28,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,4,0,3,8,0,13
2024-07-20,18:40:00,2.73,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,2,6,11,2,7
2024-07-21,13:10:00,2.57,2,1,0,2,0,1,0,1,1,0,1,2,1,1,0,0,9,6,2,11,6,11
2024-07-22,18:40:00,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,7,1,8
2024-07-23,18:40:00,2.21,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,3,1,5,10,0,10
2024-07-24,12:40:00,2.84,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,6,1,4,13,1,6
2024-07-26,17:10:00,2.45,4,1,0,0,0,0,1,1,1,0,0,3,3,0,0,0,11,10,6,8,10,11
2024-07-27,16:15:00,2.98,3,1,0,0,1,1,0,1,1,0,0,2,0,1,0,0,12,6,7,10,6,9
2024-07-28,11:10:00,2.54,1,1,0,1,1,0,0,1,1,0,3,2,1,1,0,0,8,6,4,7,4,3
